Epoch		Loss	Accuracy
Epoch 33600: 0.445171 0.820312
Epoch 33700: 0.475128 0.820312
Epoch 33800: 0.516726 0.804688
Epoch 33900: 0.581911 0.820312
Epoch 34000: 0.528461 0.820312
Epoch 34100: 0.547449 0.789062
Epoch 34200: 0.482100 0.789062
Epoch 34300: 0.352097 0.875000
Epoch 34400: 0.492148 0.851562
Epoch 34500: 0.453276 0.835938
Epoch 34600: 0.549425 0.773438
Epoch 34700: 0.477291 0.812500
Epoch 34800: 0.420131 0.812500
Epoch 34900: 0.629481 0.757812
Epoch 35000: 0.567982 0.812500
Epoch 35100: 0.546437 0.773438
Epoch 35200: 0.551712 0.781250
Epoch 35300: 0.384131 0.867188
Epoch 35400: 0.527342 0.828125
Epoch 35500: 0.766378 0.765625
Epoch 35600: 0.563328 0.789062
Epoch 35700: 0.460811 0.843750
Epoch 35800: 0.543778 0.781250
Epoch 35900: 0.438364 0.867188
Epoch 36000: 0.540399 0.796875
Epoch 36100: 0.419337 0.867188
Epoch 36200: 0.622965 0.765625
Epoch 36300: 0.671017 0.773438
Epoch 36400: 0.540082 0.796875
Epoch 36500: 0.415510 0.859375
Epoch 36600: 0.451779 0.851562
Epoch 36700: 0.430513 0.851562
Epoch 36800: 0.600410 0.781250
Epoch 36900: 0.451886 0.875000
Epoch 37000: 0.554818 0.789062
Epoch 37100: 0.506552 0.820312
Epoch 37200: 0.463915 0.804688
Epoch 37300: 0.511357 0.828125
Epoch 37400: 0.650809 0.757812
Epoch 37500: 0.365586 0.898438
Epoch 37600: 0.530409 0.812500
Epoch 37700: 0.673696 0.742188
Epoch 37800: 0.415473 0.835938
Epoch 37900: 0.388574 0.835938
Epoch 38000: 0.478838 0.812500
Epoch 38100: 0.506663 0.851562
Epoch 38200: 0.479137 0.796875
Epoch 38300: 0.444291 0.796875
Epoch 38400: 0.382687 0.859375
Epoch 38500: 0.627897 0.812500
Epoch 38600: 0.568619 0.812500
Epoch 38700: 0.363178 0.898438
Epoch 38800: 0.600987 0.765625
Epoch 38900: 0.456854 0.804688
Epoch 39000: 0.516556 0.765625
Epoch 39100: 0.491375 0.804688
Epoch 39200: 0.541604 0.843750
Epoch 39300: 0.507679 0.796875
Epoch 39400: 0.501735 0.804688
Epoch 39500: 0.412109 0.843750
Epoch 39600: 0.443336 0.843750
Epoch 39700: 0.458181 0.796875
Epoch 39800: 0.517460 0.789062
Epoch 39900: 0.473019 0.820312
Epoch 40000: 0.436498 0.796875
Epoch 40100: 0.330771 0.898438
Epoch 40200: 0.428930 0.851562
Epoch 40300: 0.423266 0.820312
Epoch 40400: 0.679369 0.750000
Epoch 40500: 0.374429 0.851562
Epoch 40600: 0.413613 0.851562
Epoch 40700: 0.443903 0.851562
Epoch 40800: 0.390017 0.867188
Epoch 40900: 0.533848 0.789062
Epoch 41000: 0.462666 0.828125
Epoch 41100: 0.345981 0.875000
Epoch 41200: 0.418097 0.789062
Epoch 41300: 0.379870 0.890625
Epoch 41400: 0.440390 0.843750
Epoch 41500: 0.508879 0.828125
Epoch 41600: 0.361385 0.898438
Epoch 41700: 0.433232 0.828125
Epoch 41800: 0.395781 0.867188
Epoch 41900: 0.444313 0.843750
Epoch 42000: 0.371238 0.843750
Epoch 42100: 0.501978 0.820312
Epoch 42200: 0.486948 0.820312
Epoch 42300: 0.277156 0.906250
Epoch 42400: 0.476279 0.820312
Epoch 42500: 0.384416 0.859375
Epoch 42600: 0.458844 0.843750
Epoch 42700: 0.439453 0.851562
Epoch 42800: 0.412962 0.828125
Epoch 42900: 0.556526 0.781250
Epoch 43000: 0.463301 0.851562
Epoch 43100: 0.305187 0.906250
Epoch 43200: 0.529964 0.796875
Epoch 43300: 0.544375 0.781250
Epoch 43400: 0.410529 0.851562
Epoch 43500: 0.392317 0.859375
Epoch 43600: 0.492356 0.828125
Epoch 43700: 0.595720 0.804688
Epoch 43800: 0.359011 0.875000
Epoch 43900: 0.351293 0.859375
Epoch 44000: 0.209047 0.937500
Epoch 44100: 0.319967 0.867188
Epoch 44200: 0.261057 0.890625
Epoch 44300: 0.395971 0.875000
Epoch 44400: 0.434482 0.843750
Epoch 44500: 0.350758 0.867188
Epoch 44600: 0.487230 0.828125
Epoch 44700: 0.340398 0.867188
Epoch 44800: 0.472034 0.820312
Epoch 44900: 0.453592 0.851562
Epoch 45000: 0.568917 0.773438
Epoch 45100: 0.525085 0.796875
Epoch 45200: 0.451804 0.804688
Epoch 45300: 0.371071 0.875000
Epoch 45400: 0.395815 0.851562
Epoch 45500: 0.341214 0.843750
Epoch 45600: 0.447320 0.859375
Epoch 45700: 0.372264 0.843750
Epoch 45800: 0.378957 0.835938
Epoch 45900: 0.364565 0.851562
Epoch 46000: 0.473911 0.851562
Epoch 46100: 0.427527 0.828125
Epoch 46200: 0.601251 0.796875
Epoch 46300: 0.411732 0.867188
Epoch 46400: 0.459478 0.796875
Epoch 46500: 0.331025 0.890625
Epoch 46600: 0.427311 0.828125
Epoch 46700: 0.458453 0.851562
Epoch 46800: 0.286409 0.890625
